fee_name_ko,fee_name_en,procedure_group,data_variable,fee
직접빌리루빈,Direct Bilirubin,간·단백질검사,Direct bilirubin,1210
총빌리루빈,Total Bilirubin,간·단백질검사,Total bilirubin,1280
총단백,Total Protein,간·단백질검사,Total protein,1360
알라닌아미노전이효소(ALT),Alanine Aminotransferase,간·단백질검사,ALT; GPT,1870
아스파테이트아미노전이효소(AST),Aspartate Aminotransferase,간·단백질검사,AST; GOT,1920
알칼리인산분해효소(ALP),Alkaline Phosphatase,간·단백질검사,ALP,1510
알부민,Albumin,간·단백질검사,Albumin,1600
감마글루타밀전이효소(γ-GTP),Gamma-Glutamyl Transferase,간·단백질검사,Gamma-GTP; GGT,3470
SARS-CoV-2 항원 간이검사,SARS-CoV-2 Antigen Rapid Test,감염·선별검사,SARS-CoV-2 antigen,15130
매독반응검사,Syphilis Screening Test,감염·선별검사,VDRL; RPR,1580
B형간염표면항원,HBsAg,감염·선별검사,HBsAg,2720
B형간염표면항체,HBsAb,감염·선별검사,HBsAb,3560
C형간염항체,HCV Antibody,감염·선별검사,HCV antibody,4420
HIV 항원·항체 동시 선별검사,HIV Antigen/Antibody Screening,감염·선별검사,HIV Ag/Ab,11060
SARS-CoV-2 실시간 RT-PCR,SARS-CoV-2 Real-Time RT-PCR,감염·선별검사,SARS-CoV-2 RNA,53080
포도당 정량검사,Quantitative Glucose,당뇨·내분비검사,Fasting glucose; Random glucose,1340
프락토자민,Fructosamine,당뇨·내분비검사,Fructosamine,6700
인슐린 관련 단백,Insulin-Related Protein,당뇨·내분비검사,Insulin; C-peptide,11650
헤모글로빈 A1c,Hemoglobin A1c,당뇨·내분비검사,HbA1c,7350
당화알부민,Glycated Albumin,당뇨·내분비검사,Glycated albumin,10400
갑상선호르몬 정밀면역검사,Thyroid Hormone Immunoassay,당뇨·내분비검사,Free T3; T3; T4; Free T4,11270
갑상선자극호르몬 정밀면역검사,Thyroid-Stimulating Hormone Immunoassay,당뇨·내분비검사,TSH,15670
24시간 혈압측정검사,Ambulatory Blood Pressure Monitoring,디지털 생체신호·연속측정,24-hour systolic BP; Diastolic BP; Nocturnal dipping,15720
경피적 혈액산소포화도 측정,Percutaneous Oxygen Saturation Monitoring,디지털 생체신호·연속측정,SpO2; Pulse rate; Desaturation event,8780
전문가용 연속혈당측정검사,Professional Continuous Glucose Monitoring,디지털 생체신호·연속측정,CGM glucose; Time in range; Glycemic variability,38460
개인용 연속혈당측정검사-정밀,"Personal Continuous Glucose Monitoring, Detailed",디지털 생체신호·연속측정,CGM glucose; Time in range; Ambulatory glucose profile,28670
개인용 연속혈당측정검사-일반,"Personal Continuous Glucose Monitoring, General",디지털 생체신호·연속측정,CGM glucose; Summary metrics,16550
조직병리검사 Level A,"Histopathologic Examination, Level A",병리검사,Histopathology diagnosis; Specimen site; Morphology finding,23240
자궁질 세포병리검사,Cervicovaginal Cytopathology,병리검사,Cervical cytology result; Bethesda category,10740
정밀안저검사,Fundus Examination,시각기능·안과검사,Fundus finding; Retinopathy grade,4860
기본 안저촬영,Basic Fundus Photography,시각기능·안과검사,Fundus image; Diabetic retinopathy; Optic disc finding,5630
광각 안저촬영,Wide-Field Fundus Photography,시각기능·안과검사,Wide-field retinal image; Peripheral retinal lesion,9220
광간섭단층 혈관영상,Optical Coherence Tomography Angiography,시각기능·안과검사,Retinal vascular density; OCTA image,31890
굴절 및 조절검사,Refraction Test,시각기능·안과검사,Spherical equivalent; Visual refraction; Astigmatism,13130
정밀 안압측정,Detailed Tonometry,시각기능·안과검사,Intraocular pressure,4230
안구광학단층촬영,Optical Coherence Tomography,시각기능·안과검사,Retinal thickness; Macular OCT; RNFL thickness,32630
요침사검사-장비측정,Urine Sediment Examination,신장·요검사,Urine RBC; Urine WBC; Cast; Crystal,1300
요검사 10종까지,Urinalysis up to 10 Items,신장·요검사,Urine protein; Glucose; Ketone; Occult blood; pH; Specific gravity,1980
크레아티닌,Creatinine,신장·요검사,Serum creatinine; eGFR input,1690
요소질소,Blood Urea Nitrogen,신장·요검사,BUN,1540
요산,Uric Acid,신장·요검사,Uric acid,2180
시스타틴 C,Cystatin C,신장·요검사,Cystatin C; eGFRcys input,6340
전해질검사,Electrolyte Test,신장·요검사,Sodium; Potassium; Chloride; Calcium; Magnesium; Phosphorus,1660
이온화 전해질검사,Ionized Electrolyte Test,신장·요검사,Ionized calcium; Ionized magnesium,5910
미량알부민 정량검사,Quantitative Microalbumin,신장·요검사,Urine microalbumin; Albumin-creatinine ratio input,17940
기초대사측정,Basal Metabolism Rate Measurement,신체기능·대사검사,Basal metabolic rate; Resting energy expenditure,10040
도수근력검사-상지 또는 하지,"Manual Muscle Test, Upper or Lower Extremity",신체기능·재활검사,Manual muscle strength grade; Limb strength,15220
도수근력검사-전신,"Manual Muscle Test, Total Body",신체기능·재활검사,Whole-body muscle strength grade,21580
버그 균형검사,Berg Balance Test,신체기능·재활검사,Berg balance score; Fall risk,10790
표준 12유도 심전도 기록 및 판독,12-Lead Electrocardiography,심혈관 기능·모니터링,ECG waveform; Heart rate; PR; QRS; QT/QTc,8560
Master 운동 또는 약제 부하심전도,Master Exercise or Pharmacologic Stress ECG,심혈관 기능·모니터링,Stress ECG; Ischemic change; Exercise response,27200
트레드밀 또는 자전거 부하심전도,Treadmill or Bicycle Ergometer ECG,심혈관 기능·모니터링,Stress ECG; METs; Exercise heart rate,43580
심전도 침상감시,Bedside ECG Monitoring,심혈관 기능·모니터링,Continuous ECG; Heart rate; Arrhythmia event,16560
홀터 심전도 48시간 이내,Holter ECG up to 48 Hours,심혈관 기능·모니터링,Holter waveform; Arrhythmia burden; HR variability,51740
일상생활 간헐적 심전도 감시,Intermittent Ambulatory ECG Monitoring,심혈관 기능·모니터링,Event ECG; Symptom-rhythm correlation,24820
홀터 심전도 48시간 초과 7일 이내,Holter ECG over 48 Hours up to 7 Days,심혈관 기능·모니터링,Extended ECG; Arrhythmia burden; AF burden,137910
원격심박기술에 의한 감시,Remote Cardiac Monitoring,심혈관 기능·모니터링,Remote heart rate; Rhythm event; Alert log,38980
트로포닌 정밀면역검사,Troponin Immunoassay,심혈관 바이오마커,Troponin I; Troponin T,10460
CK-MB 정밀면역검사,CK-MB Immunoassay,심혈관 바이오마커,CK-MB,8030
나트륨이뇨펩타이드 정밀면역검사,Natriuretic Peptide Immunoassay,심혈관 바이오마커,BNP; NT-proBNP,48570
